Division,Name,Contact,Type,Source
"Correctional Institutions Division","Main","(936) 437-8725","Phone","https://www.tdcj.texas.gov/divisions/cid/index.html"
"Correctional Institutions Division","Main","(936)437-6318","Phone","https://www.tdcj.texas.gov/divisions/cid/index.html"
"Correctional Institutions Division","Main","(936) 437-6318","Phone","https://www.tdcj.texas.gov/divisions/cid/index.html"
"Correctional Institutions Division","Main","(936)437-8724","Phone","https://www.tdcj.texas.gov/divisions/cid/index.html"
"Correctional Institutions Division","Main","(936) 437-8724","Phone","https://www.tdcj.texas.gov/divisions/cid/index.html"
"Correctional Institutions Division","Main","(936) 295-6371","Phone","https://www.tdcj.texas.gov/divisions/cid/index.html"
"Parole Division","Main","(512)406-5250","Phone","https://www.tdcj.texas.gov/divisions/pd/index.html"
"Parole Division","Main","(512) 406-5250","Phone","https://www.tdcj.texas.gov/divisions/pd/index.html"
"Parole Division","Main","(936) 295-6371","Phone","https://www.tdcj.texas.gov/divisions/pd/index.html"
"Health Services Division","Main","(936)437-4271","Phone","https://www.tdcj.texas.gov/divisions/hsd/index.html"
"Health Services Division","Main","(936) 437-4271","Phone","https://www.tdcj.texas.gov/divisions/hsd/index.html"
"Health Services Division","Main","(936)439-1345","Phone","https://www.tdcj.texas.gov/divisions/hsd/index.html"
"Health Services Division","Main","(936) 439-1345","Phone","https://www.tdcj.texas.gov/divisions/hsd/index.html"
"Health Services Division","Main","(936)439-1350","Phone","https://www.tdcj.texas.gov/divisions/hsd/index.html"
"Health Services Division","Main","(936) 439-1350","Phone","https://www.tdcj.texas.gov/divisions/hsd/index.html"
"Health Services Division","Main","(936) 295-6371","Phone","https://www.tdcj.texas.gov/divisions/hsd/index.html"
"Business & Finance","Main","(936)437-6251","Phone","https://www.tdcj.texas.gov/divisions/bfd/index.html"
"Business & Finance","Main","(936) 437-6251","Phone","https://www.tdcj.texas.gov/divisions/bfd/index.html"
"Business & Finance","Main","(936) 295-6371","Phone","https://www.tdcj.texas.gov/divisions/bfd/index.html"
"Facilities Division","Main","(936)437-7200","Phone","https://www.tdcj.texas.gov/divisions/fd/index.html"
"Facilities Division","Main","(936) 437-7200","Phone","https://www.tdcj.texas.gov/divisions/fd/index.html"
"Facilities Division","Main","(936)437-7205","Phone","https://www.tdcj.texas.gov/divisions/fd/index.html"
"Facilities Division","Main","(936) 437-7205","Phone","https://www.tdcj.texas.gov/divisions/fd/index.html"
"Facilities Division","Main","(936) 295-6371","Phone","https://www.tdcj.texas.gov/divisions/fd/index.html"
"Information Technology","Main","(936)437-9180","Phone","https://www.tdcj.texas.gov/divisions/itd/index.html"
"Information Technology","Main","(936) 437-9180","Phone","https://www.tdcj.texas.gov/divisions/itd/index.html"
"Information Technology","Main","(936)437-1011","Phone","https://www.tdcj.texas.gov/divisions/itd/index.html"
"Information Technology","Main","(936) 437-1011","Phone","https://www.tdcj.texas.gov/divisions/itd/index.html"
"Information Technology","Main","(936)437-9146","Phone","https://www.tdcj.texas.gov/divisions/itd/index.html"
"Information Technology","Main","(936) 437-9146","Phone","https://www.tdcj.texas.gov/divisions/itd/index.html"
"Information Technology","Main","(936) 295-6371","Phone","https://www.tdcj.texas.gov/divisions/itd/index.html"
