id,name,category,url
https://www.texasatt,"Attorney General Ken Paxton Sues Cord Blood Registry for Exploiting New Parents ",ATTORNEY_RESOURCE,https://www.texasattorneygeneral.gov/news/releases/attorney-general-ken-paxton-sues-cord-blood-registry-exploiting-new-parents-and-illegally-profiting
https://www.texasatt,"Crime Victims
                
                
                  Crime victims ",ATTORNEY_RESOURCE,https://www.texasattorneygeneral.gov/crime-victims
https://www.texasatt,"Consumer Protection
                
                
                  Texans d",ATTORNEY_RESOURCE,https://www.texasattorneygeneral.gov/consumer-protection
https://www.texasatt,"Crime Victims",ATTORNEY_RESOURCE,https://www.texasattorneygeneral.gov/crime-victims
https://www.texasatt,"Consumer Protection",ATTORNEY_RESOURCE,https://www.texasattorneygeneral.gov/consumer-protection
https://www.texasatt,"Opinions",ATTORNEY_RESOURCE,https://www.texasattorneygeneral.gov/attorney-general-opinions
https://lrl.texas.go,"Legislation",LAW_VERIFICATION,https://lrl.texas.gov/legis/index.cfm?directory=legis#
https://lrl.texas.go,"Browse 67th–73rd sessions",LAW_VERIFICATION,https://lrl.texas.gov/legis/ISAF/previoussessions.cfm
https://lrl.texas.go,"Bills by code and action",LAW_VERIFICATION,https://lrl.texas.gov/legis/ISAF/billsbycode.cfm
https://lrl.texas.go,"Sections affected by multiple bills",LAW_VERIFICATION,https://lrl.texas.gov/legis/ISAF/isafsamesection.cfm
https://lrl.texas.go,"Vetoed legislation",LAW_VERIFICATION,https://lrl.texas.gov/legis/Vetoes/lrlhome.cfm
https://lrl.texas.go,"Signed copies of bills",LAW_VERIFICATION,https://lrl.texas.gov/legis/signedCopies.cfm
https://lrl.texas.go,"Sessions",LAW_VERIFICATION,https://lrl.texas.gov/sessions/index.cfm?directory=sessions#
https://lrl.texas.go,"Sessions and years",LAW_VERIFICATION,https://lrl.texas.gov/sessions/sessionYears.cfm
https://lrl.texas.go,"Bill statistics",LAW_VERIFICATION,https://lrl.texas.gov/sessions/billStatistics.cfm
https://lrl.texas.go,"Bill effective dates",LAW_VERIFICATION,https://lrl.texas.gov/#
https://lrl.texas.go,"Session summaries",LAW_VERIFICATION,https://lrl.texas.gov/sessions/sessionSummaries.cfm
https://lrl.texas.go,"Special sessions",LAW_VERIFICATION,https://lrl.texas.gov/sessions/specialSessions/index.cfm
https://sll.texas.go,"Texas State Law Library",LAW_VERIFICATION,https://sll.texas.gov/
https://guides.sll.t,"Continuing Legal Education Materials",LAW_VERIFICATION,https://guides.sll.texas.gov/cle-courses
https://sll.texas.go,"Historical Texas Statutes",LAW_VERIFICATION,https://sll.texas.gov/library-resources/collections/historical-texas-statutes/
https://sll.texas.go,"Law Reviews",LAW_VERIFICATION,https://sll.texas.gov/library-resources/collections/law-reviews/
https://guides.sll.t,"Parole & Mandatory Supervision Law",LAW_VERIFICATION,https://guides.sll.texas.gov/reentry-resources/parole-law
https://guides.sll.t,"Law & Legislation",LAW_VERIFICATION,https://guides.sll.texas.gov/texas-law
https://guides.sll.t,"Statutes",LAW_VERIFICATION,https://guides.sll.texas.gov/texas-law/statutes
https://sll.texas.go,"Historical Texas Statutes",LAW_VERIFICATION,https://sll.texas.gov/library-resources/collections/historical-texas-statutes/
https://guides.sll.t,"Case Law",LAW_VERIFICATION,https://guides.sll.texas.gov/texas-law/case-law
https://guides.sll.t,"Municipal Laws & Ordinances",LAW_VERIFICATION,https://guides.sll.texas.gov/texas-law/local-ordinances
https://guides.sll.t,"Building Codes",LAW_VERIFICATION,https://guides.sll.texas.gov/building-codes
https://guides.sll.t,"Constitution & Statutes",LAW_VERIFICATION,https://guides.sll.texas.gov/federal-law/constitution
https://guides.sll.t,"Laws of Other States",LAW_VERIFICATION,https://guides.sll.texas.gov/texas-law/other-states
https://guides.sll.t,"Commonly Requested Legal Forms",LAW_VERIFICATION,https://guides.sll.texas.gov/legal-forms
https://guides.sll.t,"Legal Assistance Organizations",LAW_VERIFICATION,https://guides.sll.texas.gov/legal-help
https://guides.sll.t,"Legal Help & Info",LAW_VERIFICATION,https://guides.sll.texas.gov/legal-help
https://guides.sll.t,"Find Legal Help",LAW_VERIFICATION,https://guides.sll.texas.gov/legal-help
https://guides.sll.t,"Legal Aid",LAW_VERIFICATION,https://guides.sll.texas.gov/legal-help/aid
https://guides.sll.t,"Legal Hotlines",LAW_VERIFICATION,https://guides.sll.texas.gov/legal-help/hotlines
https://guides.sll.t,"Legal Clinics",LAW_VERIFICATION,https://guides.sll.texas.gov/legal-help/clinics
https://guides.sll.t,"Legal Advocacy Organizations",LAW_VERIFICATION,https://guides.sll.texas.gov/legal-help/advocacy
https://guides.sll.t,"Find a Lawyer",LAW_VERIFICATION,https://guides.sll.texas.gov/find-a-lawyer
https://guides.sll.t,"Hiring a Lawyer",LAW_VERIFICATION,https://guides.sll.texas.gov/hiring-and-firing-your-lawyer
https://guides.sll.t,"Find Legal Information",LAW_VERIFICATION,https://guides.sll.texas.gov/
https://guides.sll.t,"Legal Forms & Templates",LAW_VERIFICATION,https://guides.sll.texas.gov/legal-forms
https://guides.sll.t,"Legal Guides by Topic",LAW_VERIFICATION,https://guides.sll.texas.gov/
https://sll.texas.go,"Legal FAQs",LAW_VERIFICATION,https://sll.texas.gov/faqs/
https://guides.sll.t,"Legal Research for Beginners",LAW_VERIFICATION,https://guides.sll.texas.gov/legal-research-for-beginners
https://guides.sll.t,"Law Libraries of Texas",LAW_VERIFICATION,https://guides.sll.texas.gov/law-libraries/texas
https://guides.sll.t,"Law Libraries of Other States",LAW_VERIFICATION,https://guides.sll.texas.gov/law-libraries/other-states
https://sll.texas.go,"Legal FAQs",LAW_VERIFICATION,https://sll.texas.gov/faqs/
https://guides.sll.t,"Legal Topics",LAW_VERIFICATION,https://guides.sll.texas.gov/
https://guides.sll.t,"Find Legal Help",LAW_VERIFICATION,https://guides.sll.texas.gov/legal-help
https://guides.sll.t,"Legal Forms",LAW_VERIFICATION,https://guides.sll.texas.gov/legal-forms
https://sll.texas.go,"Texas Law & Legislation",LAW_VERIFICATION,https://sll.texas.gov/law-legislation/texas/
https://sll.texas.go,"Building Codes",LAW_VERIFICATION,https://sll.texas.gov/law-legislation/texas/building-codes/
https://sll.texas.go,"Historical Texas Statutes",LAW_VERIFICATION,https://sll.texas.gov/library-resources/collections/historical-texas-statutes/
https://sll.texas.go,"Continuing Legal Education (CLEs)",LAW_VERIFICATION,https://sll.texas.gov/library-resources/collections/continuing-legal-education-materials/
https://comptroller.,"Sales Tax Permit Application",LAW_VERIFICATION,https://comptroller.texas.gov/taxes/permit/
https://www.legis.te,"Bill Lists",LAW_VERIFICATION,https://www.legis.texas.gov/MyTLO/BillList/BillList.aspx
https://www.legis.te,"Bills",LAW_VERIFICATION,https://www.legis.texas.gov/MyTLO/Alerts/Bills.aspx
https://www.legis.te,"Legislation",LAW_VERIFICATION,https://www.legis.texas.gov/MnuLegislation.aspx
https://www.legis.te,"Bill Lookup",LAW_VERIFICATION,https://www.legis.texas.gov/BillLookup/BillNumber.aspx
https://www.legis.te,"Bill Search",LAW_VERIFICATION,https://www.legis.texas.gov/Search/BillSearch.aspx
https://www.legis.te,"Bill Lookup",LAW_VERIFICATION,https://www.legis.texas.gov/BillLookup/BillNumber.aspx
https://www.legis.te,"Bill Search",LAW_VERIFICATION,https://www.legis.texas.gov/Search/BillSearch.aspx
https://www.legis.te,"Find list of filed bills?",LAW_VERIFICATION,https://www.legis.texas.gov/Resources/FAQ.aspx#26
https://www.legis.te,"Follow the status of a bill?",LAW_VERIFICATION,https://www.legis.texas.gov/Resources/FAQ.aspx#5
https://www.legis.te,"View the text of a bill?",LAW_VERIFICATION,https://www.legis.texas.gov/Resources/FAQ.aspx#6
https://www.legis.te,"Track Legislation With Bill Lists",LAW_VERIFICATION,https://www.legis.texas.gov/MyTLO/BillList/BillList.aspx
https://www.legis.te,"Receive Bill and Meeting Alerts",LAW_VERIFICATION,https://www.legis.texas.gov/MyTLO/Alerts/Bills.aspx
https://www.legis.te,"Saved Bill, Text, Amendment Searches",LAW_VERIFICATION,https://www.legis.texas.gov/MyTLO/Search/SavedSearches.aspx
https://www.lbb.texa,"Summary of Conference Committee Report for Senate Bill 1, Appropriations for the",NEWS,https://www.lbb.texas.gov/Documents/Appropriations_Bills/89/Conference_Bills/CCRSB1_Summary.pdf
https://www.efiletex,"Active Courts",LAW_VERIFICATION,https://www.efiletexas.gov/active-courts/index.htm
https://www.efiletex,"Choose an e-filing service provider »",LAW_VERIFICATION,https://www.efiletexas.gov/service-providers.htm
https://www.efiletex,"eFileTexas.gov Brand Kit",LAW_VERIFICATION,https://www.efiletexas.gov/brand-kit.htm
https://www.efiletex,"eFileTexas Self-Help Brand Kit",LAW_VERIFICATION,https://www.efiletexas.gov/self-help-brand-kit.htm
